Timestamp,RA,Dec
02:10.6,152.3242993,-0.72228371
02:10.7,152.3242993,-0.72228371
02:10.8,152.8654515,-0.722190097
02:10.9,152.8654515,-0.722190097
02:11.0,153.2401348,-0.722127393
02:11.1,153.2401348,-0.722127393
02:11.3,153.7577762,-0.722043504
02:11.4,153.7577762,-0.722043504
02:11.4,153.7577762,-0.722043504
02:11.6,154.2812887,-0.721961826
02:11.7,154.2812887,-0.721961826
02:11.8,154.8113151,-0.721882323
02:11.9,154.8113151,-0.721882323
02:12.0,155.4640605,-0.721788606
02:12.1,155.4640605,-0.721788606
02:12.2,155.8557114,-0.72173458
02:12.4,155.8557114,-0.72173458
02:12.4,156.3772433,-0.721665096
02:12.5,156.3772433,-0.721665096
02:12.6,156.8080521,-0.721609788
02:12.8,156.8080521,-0.721609788
02:12.9,157.2257868,-0.721557938
02:13.0,157.2257868,-0.721557938
02:13.1,157.8700281,-0.721481258
02:13.2,157.8700281,-0.721481258
02:13.4,158.2688454,-0.721435781
02:13.4,158.2688454,-0.721435781
02:13.6,158.7897005,-0.721378591
02:13.6,158.7897005,-0.721378591
02:13.7,158.7897005,-0.721378591
02:13.9,159.3386416,-0.721320988
02:14.0,159.3386416,-0.721320988
02:14.1,159.956099,-0.72125934
02:14.2,159.956099,-0.72125934
02:14.3,159.956099,-0.72125934
02:14.4,160.7504287,-0.72118485
02:14.5,160.7504287,-0.72118485
02:14.6,161.1813121,-0.721146649
02:14.7,161.1813121,-0.721146649
02:14.8,161.1813121,-0.721146649
02:15.0,161.8332509,-0.721091707
02:15.0,161.8332509,-0.721091707
02:15.2,161.8332509,-0.721091707
02:15.3,162.5061751,-0.721038519
02:15.4,162.5061751,-0.721038519
02:15.5,163.0590076,-0.720997447
02:15.6,163.0590076,-0.720997447
02:15.7,163.4564837,-0.720969349
02:15.8,163.4564837,-0.720969349
02:15.9,164.0073482,-0.720932346
02:16.1,164.0073482,-0.720932346
02:16.1,164.398964,-0.720907397
02:16.3,164.398964,-0.720907397
02:16.4,164.9152364,-0.720876182
02:16.5,164.9152364,-0.720876182
02:16.6,165.4380248,-0.720846502
02:16.7,165.4380248,-0.720846502
02:16.8,165.95558,-0.720818992
02:16.9,165.95558,-0.720818992
02:17.0,165.95558,-0.720818992
02:17.1,166.4533368,-0.720794266
02:17.3,166.4533368,-0.720794266
